,WAP013,WAP014,WAP023,WAP024,WAP027,WAP028,WAP029,WAP030,WAP031,WAP032,WAP033,WAP034,WAP035,WAP036,WAP039,WAP040,WAP041,WAP042,WAP043,WAP047,WAP048,WAP051,WAP052,WAP057,WAP058,WAP061,WAP062,WAP069,WAP070,WAP074,WAP077,WAP078,WAP081,WAP084,WAP085,WAP087,WAP098,WAP099,WAP132,WAP142,WAP143,WAP155,WAP156,WAP160,WAP161,WAP162,WAP224,WAP225,WAP248,WAP253,WAP268,WAP294,WAP303,WAP323,WAP360,WAP452,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP
210,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,-75,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-90,-92,100,100,100,100,-91,100,-88,100,100,-7634.54482007356,4864965.7527715005,3,0,0,0,0,13,1379667788
211,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,100,100,100,-86,100,-83,100,100,-81,100,100,-7633.894600000232,4864970.446000002,3,0,0,0,0,13,1379667801
212,100,100,100,100,100,100,100,100,-88,-89,100,100,100,100,100,100,100,100,-77,100,100,-58,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-76,100,100,100,-83,-83,100,100,100,100,100,-94,100,-85,100,100,-7633.8022386501725,4864984.070822458,3,0,0,0,0,13,1379667826
213,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,-72,100,100,-63,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,100,100,100,-83,-83,100,100,100,100,100,100,100,100,100,100,-7632.5285325687255,4864987.434737845,3,0,0,0,0,13,1379667857
214,100,100,100,100,100,100,100,100,-78,-77,100,100,100,100,100,100,100,100,-64,100,100,-63,-62,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7636.400181627991,4864992.677631995,3,0,0,0,0,13,1379667886
215,100,100,100,100,100,100,100,100,-74,-74,-83,-85,100,100,100,100,100,100,-49,100,100,-77,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-87,100,100,100,100,-95,-86,100,-90,100,-79,100,100,-90,100,-90,-7638.915550823144,4865000.869378007,3,0,0,0,0,13,1379667911
216,100,100,100,100,100,100,100,100,-75,-75,100,100,100,100,100,100,100,100,-58,100,100,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,-87,100,100,-88,100,100,-7641.725299999118,4865006.605800003,3,0,0,0,0,13,1379667928
217,100,100,100,100,-65,-65,100,100,100,100,-78,-78,100,100,100,100,100,100,100,100,100,-84,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-59,-59,-81,100,100,100,100,100,100,100,100,100,-7616.099599998443,4864980.436399996,1,0,0,0,0,0,1379667941
218,100,100,100,100,-55,-55,100,100,100,-93,-70,-71,-79,-79,100,100,100,100,100,100,100,100,-91,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-88,100,100,100,-68,-68,100,100,100,100,100,100,100,100,100,-89,-7610.8997999988505,4864976.934299998,1,0,0,0,0,0,1379667952
219,100,100,100,100,100,100,100,100,-76,-76,100,100,100,100,100,100,100,100,100,100,100,-75,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,-90,100,100,100,100,100,-97,100,100,100,-80,-79,100,-80,100,100,-7642.314570450088,4865014.3560995385,3,0,0,0,0,13,1379667954
220,100,100,100,100,-51,-51,100,100,-92,-91,-85,-86,-80,-83,100,100,100,100,100,100,100,100,100,-80,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-63,-63,100,100,100,100,100,100,100,100,100,-89,-7609.021200001241,4864977.4729999965,1,0,0,0,0,0,1379667959
221,100,100,100,100,-51,-51,100,100,100,100,-81,100,-77,-72,100,100,100,100,100,100,100,100,100,-72,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,-68,-67,100,100,100,100,100,100,100,100,100,-87,-7602.677417979874,4864981.047180882,1,0,0,0,0,0,1379667978
222,100,100,100,100,-53,-53,100,100,100,100,-79,-79,-74,-77,100,100,100,100,100,100,100,100,100,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-69,100,100,100,100,100,100,100,100,100,-86,-7603.094379913346,4864981.106801781,1,0,0,0,0,0,1379667984
223,100,100,100,100,-64,-64,100,100,100,-95,100,100,-73,-73,100,100,100,100,100,100,100,100,100,-83,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,-79,100,100,100,100,100,100,100,100,100,100,-7595.9739999994645,4864981.212499999,1,0,0,0,0,0,1379668002
224,100,100,100,100,100,100,100,100,-92,-88,100,100,100,-78,100,100,100,100,-77,100,100,-48,-48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-63,-63,100,100,100,-88,-89,100,100,100,100,100,100,100,100,100,100,-7618.0971127551575,4864976.564282456,3,0,0,0,0,13,1379668016
225,100,100,100,100,-63,-63,100,100,100,100,100,-87,-76,-77,100,100,100,100,100,100,100,100,100,-78,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-78,100,100,100,100,100,100,100,100,100,100,-7594.524293113694,4864983.7025545295,1,0,0,0,0,0,1379668026
226,100,100,100,100,-67,-67,100,100,100,100,100,100,-72,-73,100,100,100,100,100,100,100,100,100,-75,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7594.034899998456,4864981.768399999,1,0,0,0,0,0,1379668032
227,100,100,100,100,-71,-71,100,100,100,100,100,100,-84,-84,100,100,100,100,100,100,100,100,100,-90,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7592.164003069832,4864978.9444605885,1,0,0,0,0,0,1379668058
228,100,100,100,100,100,100,100,100,-89,-89,100,100,-76,-71,100,100,100,100,-86,100,100,-62,-63,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-54,-54,100,100,100,-76,-75,100,100,100,100,100,100,100,100,100,100,-7610.512136383857,4864978.589449592,3,0,0,0,0,13,1379668062
229,100,100,100,100,-85,-85,100,100,100,100,100,100,-65,-66,100,100,100,100,-86,100,100,-74,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-49,-49,100,100,100,-92,-91,100,100,-77,100,100,100,100,100,100,100,-7602.787023836148,4864980.848541076,3,0,0,0,0,13,1379668109
230,100,100,100,100,100,-93,100,100,100,100,100,100,-70,-71,100,100,100,100,-88,100,100,-81,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-51,-51,100,100,100,100,100,100,100,-69,100,100,100,100,100,100,100,-7595.539200640763,4864982.715395698,3,0,0,0,0,13,1379668125
231,100,100,100,100,-94,100,100,100,100,100,100,100,-83,-83,100,100,100,100,-95,100,100,-85,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-66,100,100,100,100,100,100,100,-76,100,100,100,100,100,100,100,-7588.031571666017,4864985.519792017,3,0,0,0,0,13,1379668158
232,100,100,100,100,100,100,100,100,-91,-89,100,100,100,100,100,100,100,100,-80,100,100,-51,-51,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-69,100,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,-7616.099599998443,4864980.436300002,3,0,0,0,0,13,1379668182
245,-74,-74,-66,-66,100,100,-88,-87,100,100,100,100,100,100,-69,-67,-77,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,-58,-58,100,100,100,100,-58,100,-60,100,100,100,100,100,100,-7642.662599999458,4864928.120899999,1,0,0,0,0,13,1380034257
246,-76,-77,-66,-67,100,100,-92,100,100,100,100,100,100,100,-70,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,-52,-52,100,100,100,100,-59,100,-54,100,100,100,100,100,100,-7644.365146112375,4864929.740606472,1,0,0,0,0,13,1380034289
247,-82,-82,-85,-85,100,100,100,100,100,100,100,100,100,100,-78,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-64,-85,100,100,100,-88,100,-86,100,100,100,100,100,100,-7649.33920000121,4864936.540399998,1,0,0,0,0,13,1380034313
248,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,-94,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-87,100,-81,-82,-91,100,100,100,100,100,100,100,100,100,-7644.7465096378855,4864948.350353177,1,0,0,0,0,13,1380034368
249,100,100,100,100,-67,-66,100,100,100,100,-66,-69,-86,100,100,100,100,100,100,100,100,-62,-64,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-94,100,-58,-58,-78,100,100,100,100,100,100,100,100,100,-7633.347579696844,4864984.857315746,1,0,0,0,0,13,1380034454
250,100,100,100,100,-72,-71,100,100,100,100,-66,-69,100,100,100,100,100,100,100,100,100,-68,-68,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-47,-47,-71,100,100,100,100,-85,100,100,100,-67,-7634.106117499488,4864983.98104736,1,0,0,0,0,13,1380034629
251,100,100,100,100,-77,-71,100,100,-76,-77,-64,-63,-75,-76,100,100,100,100,100,100,100,-73,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-55,-54,-54,100,100,100,-84,100,100,100,100,-55,-7637.423799999057,4864991.598899998,1,0,0,0,0,13,1380034676
252,100,100,-51,-52,100,100,-80,-79,100,100,100,100,100,100,-97,100,100,-95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-85,100,100,100,100,-86,100,-79,100,100,100,100,100,100,-7636.398131450962,4864898.561277066,1,0,0,0,0,13,1380035119
253,-85,-88,-68,-66,100,100,-52,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-87,100,100,100,100,-90,100,100,100,100,100,100,100,100,-7637.63500148025,4864904.55095181,2,0,0,0,0,13,1380035176
254,100,100,-65,-66,100,100,-50,-49,100,100,100,100,100,100,100,100,-84,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-98,100,100,100,100,-7638.637716568229,4864906.667450602,2,0,0,0,0,13,1380035199
255,100,-84,-88,-88,100,100,-77,100,100,100,100,100,100,100,-96,100,-70,-71,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-78,-78,100,100,100,100,-70,100,-74,100,100,100,100,100,100,-7653.343301445247,4864920.963251494,2,0,0,0,0,13,1380035230
256,-75,-75,-88,-88,100,100,-74,-75,100,100,100,100,100,100,100,100,-70,-72,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-94,100,100,100,100,100,100,100,100,-73,-73,100,100,100,100,-79,100,-71,100,100,100,100,100,100,-7652.152865217898,4864925.906269594,2,0,0,0,0,13,1380035281
257,-66,-67,100,100,100,100,-70,-70,100,100,100,100,100,100,-87,-84,-67,-68,100,-78,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-83,100,100,100,-71,100,-72,100,100,100,100,100,100,-7644.278508366051,4864929.127120025,2,0,0,0,0,13,1380035299
258,-63,-62,-91,-86,100,100,-75,-75,100,100,100,100,100,100,100,-87,-70,-69,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,-68,-69,-82,100,100,100,-75,100,-76,-90,100,100,100,100,100,-7645.025672374883,4864929.801025793,2,0,0,0,0,13,1380035317
259,-74,100,-82,-81,100,100,-72,-73,100,100,100,100,100,100,-88,-83,-74,-73,100,-85,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-66,-88,100,100,100,-77,100,-76,-92,-90,100,100,100,100,-7646.576089675892,4864931.6113540325,2,0,0,0,0,13,1380035329
260,-73,-73,-90,100,100,100,-73,-74,100,100,100,100,100,100,100,-87,-66,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-74,-89,100,100,100,-83,100,100,100,100,100,100,100,100,-7660.045400001109,4864939.4126999965,2,0,0,0,0,13,1380035347
261,-75,100,100,100,100,100,-70,-68,100,100,100,100,100,100,-79,-81,-54,-54,100,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-71,-71,-81,100,100,-93,100,100,-87,-81,100,100,-81,100,100,-7661.863200001419,4864938.891900003,2,0,0,0,0,13,1380035354
262,-78,-83,100,100,100,100,100,-81,100,100,100,100,100,100,-79,-79,-62,-61,100,-77,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-76,-82,100,100,100,100,100,100,-81,-86,100,100,100,100,-7666.248085539786,4864936.286868436,2,0,0,0,0,13,1380035388
263,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,-67,-69,-44,-45,100,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,-7673.913438812227,4864933.752902915,2,0,0,0,0,13,1380035408
264,100,100,100,100,100,100,-89,-89,100,100,100,100,100,100,-54,-56,-55,-54,100,-79,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-87,-92,100,100,100,100,100,100,-84,-81,100,100,100,100,-7676.65703884553,4864933.448392175,2,0,0,0,0,13,1380035434
265,-83,-83,100,100,100,100,100,-91,100,100,100,100,100,100,-63,-64,-50,-51,100,-65,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-77,100,100,100,-81,100,100,-75,-81,100,-74,100,100,-7676.753699999303,4864934.623499997,2,0,0,0,0,13,1380035446
266,100,-88,100,100,100,100,100,100,100,100,100,100,100,100,-64,-64,-51,-51,100,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-78,-79,100,100,100,-83,100,100,-74,-76,100,-74,100,100,-7676.753699999303,4864934.623499997,2,0,0,0,0,13,1380035457
267,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,-59,-59,-58,-64,100,-71,-70,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,-87,-89,-87,100,100,100,100,100,100,100,100,100,100,100,100,-7676.617487958357,4864933.595861311,2,0,0,0,0,13,1380035469
268,-95,100,100,100,100,100,-96,-92,100,100,100,100,100,100,-72,-72,-67,-69,100,-73,-74,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,100,100,100,100,-7683.7911409228145,4864930.401311013,2,0,0,0,0,13,1380035491
270,100,100,100,100,100,100,100,100,100,100,100,100,-87,-90,100,100,100,100,100,100,100,-96,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-86,100,-85,100,100,-7632.834499999882,4864964.830499998,2,0,0,0,0,13,1380035571
271,100,100,100,100,100,100,100,100,-79,-82,100,100,-80,-85,100,100,100,100,100,100,100,-75,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-81,-95,100,100,100,-73,100,100,-79,100,100,-7633.874600000678,4864970.4821000025,2,0,0,0,0,13,1380035581
272,100,100,100,100,100,100,100,100,-64,-65,100,100,-74,-73,100,100,100,100,-78,100,100,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,-76,-78,-87,100,100,100,100,100,100,100,100,100,-7632.108204304523,4864982.42988779,2,0,0,0,0,13,1380035603
273,100,100,100,100,100,-89,100,100,-69,-69,100,100,-77,-79,100,100,100,100,100,100,100,-68,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-90,100,100,100,-68,-65,-87,100,100,100,100,100,100,100,100,100,-7634.406271164592,4864984.265276207,2,0,0,0,0,13,1380035617
274,-91,100,100,100,100,100,100,100,-72,-73,-84,-78,-81,-80,100,100,100,100,-81,100,100,-68,-68,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,-73,100,-89,100,100,100,100,100,100,100,100,100,-7634.833296193271,4864985.89606942,2,0,0,0,0,13,1380035642
275,100,100,100,100,100,100,100,100,-70,-71,100,100,-66,-66,100,100,100,100,-84,100,100,-72,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-75,100,100,100,-63,-66,100,100,100,100,100,100,100,100,100,100,-7634.2296001664745,4864985.622747845,2,0,0,0,0,13,1380035656
276,100,100,100,100,100,100,100,100,-58,-60,-76,-74,-74,-74,100,100,100,100,-75,100,100,-79,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,100,100,100,100,100,100,100,100,-74,-7636.5828310759825,4864993.556397763,2,0,0,0,0,13,1380035688
277,100,100,100,100,100,100,100,100,-66,-66,-79,-77,-74,-74,100,100,100,100,100,100,100,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,-85,-74,100,100,100,-82,100,100,100,100,-75,-7637.520333808902,4864993.582002688,2,0,0,0,0,13,1380035708
278,100,100,100,100,100,100,100,100,-49,-49,-69,-70,-78,-77,100,100,100,100,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,-87,-70,100,100,100,100,100,100,100,100,-80,-7639.186566410442,4864999.287424088,2,0,0,0,0,13,1380035739
279,100,100,100,100,100,100,100,100,-60,-60,-89,-84,-85,-85,100,100,100,100,-83,100,100,-80,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,-90,-76,100,100,100,-90,100,100,-86,100,-89,-7638.818726054509,4864999.213563214,2,0,0,0,0,13,1380035758
280,100,100,100,100,100,100,100,100,-53,-52,-67,-64,-81,-80,100,100,100,100,-69,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,-89,-80,100,100,100,100,100,100,100,100,100,-7639.345315501557,4865007.271423336,2,0,0,0,0,13,1380035785
281,100,100,100,100,100,100,100,100,-53,-53,-68,-68,-82,-82,100,100,100,100,-72,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,-81,100,100,100,-81,100,100,-84,100,-82,-7641.380978970188,4865006.834357185,2,0,0,0,0,13,1380035805
282,100,100,100,100,100,100,100,100,-59,-59,-68,-69,100,-87,100,100,100,100,-74,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,-85,100,100,-7641.7636168052295,4865008.641523563,2,0,0,0,0,13,1380035816
283,100,100,100,100,-83,-83,100,100,-72,-76,100,100,-68,-69,100,100,100,100,100,100,100,-72,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,-74,-73,-89,100,100,100,100,100,100,100,100,-95,-7631.768406853054,4864982.257751131,2,0,0,0,0,13,1380035862
284,100,100,100,100,100,100,100,100,100,100,100,100,-87,-86,100,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,-91,100,100,100,100,100,100,100,100,100,100,-7633.874600000678,4864970.4821000025,2,0,0,0,0,13,1380035892
285,100,100,100,100,100,100,100,100,-84,100,100,100,100,-87,100,100,100,100,100,100,100,-80,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-90,100,100,100,100,-80,-83,100,-80,100,100,-7633.874600000678,4864970.4821000025,2,0,0,0,0,13,1380035896
286,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-94,-95,100,100,100,-82,-91,100,-81,100,100,-7632.834499999882,4864964.830499998,2,0,0,0,0,13,1380035908
287,100,100,100,100,100,100,100,100,-86,100,100,100,-83,-83,100,100,100,100,100,100,100,-93,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,-87,100,100,100,100,100,100,100,-88,100,100,-7632.834499999882,4864964.830499998,2,0,0,0,0,13,1380035912
288,100,100,100,100,100,100,100,100,-88,-88,100,100,-85,-81,100,100,100,100,100,100,100,-86,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,-76,100,100,-72,100,100,-7635.169694013809,4864966.327907161,2,0,0,0,0,13,1380035924
289,100,100,100,100,-82,-80,100,100,-86,-85,-68,-68,-89,100,100,100,100,100,100,100,100,-77,-77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-56,-52,100,100,100,100,100,100,100,100,-65,-7636.6773482751505,4864993.150390047,1,0,0,0,0,13,1380177084
290,100,100,100,100,-52,-51,100,100,-82,100,-70,-68,-90,-89,100,100,100,100,100,100,100,-78,-78,-84,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-98,100,-59,-59,-79,100,100,100,100,100,100,100,100,-92,-7616.798543023435,4864976.530300988,1,0,0,0,0,13,1380177181
291,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-93,-93,100,-88,-82,100,100,100,100,100,100,100,-95,100,100,-7635.3391413587915,4864966.311943592,1,0,0,0,0,13,1380177286
292,-90,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-78,100,-95,100,100,100,100,-85,-82,-86,100,100,100,100,-7644.893836905537,4864948.717365125,1,0,0,0,0,13,1380177320
293,-91,-92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,-87,100,100,100,-92,100,100,100,100,100,100,-89,100,-94,-7644.18918638034,4864948.603650068,0,0,0,0,0,13,1380177388
294,100,100,100,100,-59,-59,100,100,-95,100,100,-87,-70,-71,100,100,100,100,100,100,100,100,100,-79,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,-89,100,100,100,-91,-89,100,100,-93,100,-95,100,100,100,100,100,-7595.485297560111,4864982.7225867035,1,0,0,0,0,13,1380177475
311,100,100,100,100,-53,-52,100,100,100,100,100,100,-71,-71,100,100,100,100,100,100,100,100,100,-75,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,-84,100,100,100,-75,-76,100,100,100,100,100,100,100,100,100,100,-7604.554351961245,4864984.37617669,1,0,0,0,0,0,1380189166
312,100,100,100,100,-52,-51,100,100,100,100,100,100,-72,-74,100,100,100,100,100,100,100,100,-90,-78,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-86,100,100,100,-72,-72,100,100,100,100,100,100,100,100,100,-88,-7605.384652840472,4864986.075252159,1,0,0,0,0,0,1380189188
313,100,100,100,100,-50,-50,100,100,100,100,-83,-83,-71,-71,100,100,100,100,100,100,100,100,-91,-78,-75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,-76,100,100,100,100,100,100,100,100,100,100,-7604.881661400512,4864985.260918006,1,0,0,0,0,0,1380189205
314,100,100,100,100,-57,-57,100,100,100,100,-88,-86,-73,-74,100,100,100,100,100,100,100,100,100,-73,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,100,100,100,100,-68,-67,100,100,100,100,100,100,100,100,100,100,-7601.5887339273795,4864980.273296214,1,0,0,0,0,0,1380189226
315,100,100,100,100,-56,-55,100,100,100,100,100,100,-75,-75,100,100,100,100,100,100,100,100,100,-71,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,-85,100,100,100,100,100,100,100,100,100,-7596.378345234551,4864982.9175094385,1,0,0,0,0,0,1380189256
316,100,100,100,100,-70,-66,100,100,100,100,100,100,-77,-78,100,100,100,100,100,100,100,100,100,-78,-79,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-7594.1251444431655,4864982.074011117,1,0,0,0,0,0,1380189265
317,100,100,100,100,-66,-66,100,100,100,-95,100,100,100,-81,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-78,100,100,100,100,100,100,100,100,100,100,-7594.8471000008285,4864984.518900001,1,0,0,0,0,0,1380189277
318,100,100,100,100,-62,-62,100,100,100,100,100,100,-84,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-78,100,100,100,100,100,100,100,100,100,-95,-7587.800430000201,4864986.538930002,1,0,0,0,0,0,1380189286
319,100,100,100,100,-51,-51,100,100,100,100,-86,-85,-77,-75,100,100,100,100,100,100,100,100,100,-69,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-70,100,100,100,100,100,100,100,100,100,-88,-7602.9452936482,4864980.977373345,1,0,0,0,0,0,1380189316
320,100,100,100,100,-57,-52,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,-81,-80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-64,-78,100,100,100,100,100,100,100,100,100,-7609.166813828449,4864977.92499979,1,0,0,0,0,0,1380189338
321,100,100,100,100,-53,-52,100,100,100,100,-87,100,-77,-77,100,100,100,100,100,100,100,100,100,-74,-73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-65,-84,100,100,100,100,100,100,100,100,100,-7609.3627636371675,4864977.37505454,1,0,0,0,0,0,1380189350
322,100,100,100,100,-63,-63,100,100,100,100,-83,-77,100,100,100,100,100,100,100,100,100,-84,-83,-89,-89,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-75,-78,100,100,100,100,100,100,100,100,-84,-7616.200419176741,4864978.720577933,1,0,0,0,0,0,1380189371
323,100,100,100,100,-68,-65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-85,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-81,100,100,100,100,100,100,100,100,100,-7616.538604847725,4864978.737587038,1,0,0,0,0,0,1380189380
